station_id,station_name,road_type,road_level,direction,settlement_size,distance_to_city_km,num_pumps_AI92,num_pumps_AI92_bio,num_pumps_AI95,num_pumps_AI95_bio,num_pumps_AI100_bio,num_pumps_DT,num_pumps_DT_bio,num_pumps_SUG,num_pumps_KPG,num_pumps_SPG,total_pumps,has_shop,shop_area_m2,has_car_wash,has_tire_service,has_cafe,has_hotel,has_shop_молельная_комната,has_shop_прачечная,has_shop_электрозарядная_станция,has_shop_подкачка_шин,competitors_wink
Запад-МФ-69172,АЗС 172,Федеральная трасса,1,транзит-трассовая АЗС,6,1,8,0,8,0,7,12,0,0,0,0,13,1,153.76,0,0,1,0,0,1,0,1,4
Запад-МФ-69173,АЗС 173,Улица в населенном пункте,5,городская,3,0,6,0,6,0,0,6,0,0,0,0,6,1,90.0,0,0,1,0,0,0,0,0,3
Запад-МФ-69603,АЗС 603,Улица в населенном пункте,5,городская,3,0,6,0,6,0,0,6,0,0,0,0,6,1,132.9,0,0,1,0,0,0,0,0,3
Запад-МФ-69604,АЗС 604,Улица в населенном пункте,5,городская,3,0,6,0,6,0,0,6,0,0,0,0,6,1,71.2,0,0,1,0,0,0,0,0,1
Запад-МФ-69606,АЗС 606,Федеральная трасса,1,транзит-трассовая АЗС,6,2,4,0,4,0,0,8,0,0,0,0,9,1,85.1,0,0,1,0,0,0,0,0,3
